X,Y,Yaw
0.459,-1.00306624,1.187755934
0.46,-1.000585947,1.187553152
0.461,-0.998107159,1.187342607
0.462,-0.995629928,1.187124556
0.463,-0.993154307,1.186898834
0.464,-0.990680348,1.186665558
0.465,-0.988208103,1.1864247
0.466,-0.985737621,1.186176657
0.467,-0.983268954,1.18592098
0.468,-0.980802152,1.185657922
0.469,-0.978337264,1.185387598
0.47,-0.975874338,1.185110121
0.471,-0.973413425,1.184825035
0.472,-0.970954572,1.184532879
0.473,-0.968497827,1.18423348
0.474,-0.966043236,1.183927092
0.475,-0.963590848,1.183613257
0.476,-0.961140707,1.183292656
0.477,-0.958692861,1.182964685
0.478,-0.956247355,1.18262974
0.479,-0.953804234,1.182287788
0.48,-0.951363542,1.181938939
0.481,-0.948925324,1.181583016
0.482,-0.946489625,1.181219983
0.483,-0.944056487,1.180850238
0.484,-0.941625953,1.180473601
0.485,-0.939198067,1.180089892
0.486,-0.936772871,1.179699364
0.487,-0.934350406,1.179302125
0.488,-0.931930715,1.178897847
0.489,-0.929513838,1.17848693
0.49,-0.927099817,1.178069043
0.491,-0.924688692,1.177644441
0.492,-0.922280504,1.177212938
0.493,-0.919875292,1.176774789
0.494,-0.917473095,1.176329954
0.495,-0.915073953,1.175878245
0.496,-0.912677905,1.17541977
0.497,-0.910284989,1.174954636
0.498,-0.907895243,1.174482802
0.499,-0.905508706,1.174004077
0.5,-0.903125414,1.173518866
0.501,-0.900745406,1.173026679
0.502,-0.898368718,1.172527921
0.503,-0.895995386,1.17202255
0.504,-0.893625448,1.171510221
0.505,-0.891258939,1.170991342
0.506,-0.888895895,1.170465718
0.507,-0.886536352,1.169933304
0.508,-0.884180346,1.169394053
0.509,-0.88182791,1.168848378
0.51,-0.87947908,1.168295774
0.511,-0.877133891,1.167736348
0.512,-0.874792377,1.167170205
0.513,-0.872454572,1.166597298
0.514,-0.87012051,1.16601758
0.515,-0.867790224,1.165431156
0.516,-0.865463748,1.164837823
0.517,-0.863141116,1.164237531
0.518,-0.86082236,1.163630542
0.519,-0.858507513,1.16301665
0.52,-0.856196608,1.162395803
0.521,-0.853889678,1.16176795
0.522,-0.851586754,1.161133355
0.523,-0.849287869,1.160491648
0.524,-0.846993055,1.159842937
0.525,-0.844702345,1.159187006
0.526,-0.842415769,1.158524281
0.527,-0.840133359,1.157854388
0.528,-0.837855148,1.157177109
0.529,-0.835581165,1.156493035
0.53,-0.833311444,1.155801299
0.531,-0.831046014,1.155102654
