X,Y,Yaw
0.136,-1.152399246,-1.407954038
0.137,-1.158395105,-1.405535655
0.138,-1.164301097,-1.403067566
0.139,-1.170118025,-1.400548418
0.14,-1.175846682,-1.397976663
0.141,-1.181487859,-1.395350933
0.142,-1.187042335,-1.392669502
0.143,-1.192510885,-1.389930826
0.144,-1.197894277,-1.387133204
0.145,-1.203193272,-1.384274871
0.146,-1.208408625,-1.381354024
0.147,-1.213541085,-1.37836879
0.148,-1.218591393,-1.375317147
0.149,-1.223560285,-1.372197105
0.15,-1.22844849,-1.369006515
0.151,-1.233256732,-1.36574322
0.152,-1.237985728,-1.362404894
0.153,-1.242636188,-1.358989111
0.154,-1.247208817,-1.355493433
0.155,-1.251704316,-1.351915367
0.156,-1.256123376,-1.348252034
0.157,-1.260466686,-1.344500817
0.158,-1.264734928,-1.34065874
0.159,-1.268928776,-1.336722645
0.16,-1.273048902,-1.332689554
0.161,-1.27709597,-1.328556036
0.162,-1.281070639,-1.324318672
0.163,-1.284973564,-1.319973957
0.164,-1.288805392,-1.315517986
0.165,-1.292566768,-1.310947055
0.166,-1.296258327,-1.30625677
0.167,-1.299880703,-1.301443144
0.168,-1.303434523,-1.296501596
0.169,-1.306920409,-1.291427474
0.17,-1.310338978,-1.286215913
0.171,-1.313690842,-1.280861822
0.172,-1.316976607,-1.275359789
0.173,-1.320196876,-1.269704402
0.174,-1.323352246,-1.263889739
0.175,-1.326443308,-1.257909587
0.176,-1.32947065,-1.251757721
0.177,-1.332434855,-1.245427432
0.178,-1.3353365,-1.238911585
0.179,-1.338176158,-1.232202903
0.18,-1.340954398,-1.22529377
0.181,-1.343671784,-1.218176089
0.182,-1.346328875,-1.210841367
0.183,-1.348926225,-1.203280695
0.184,-1.351464385,-1.195484991
0.185,-1.353943901,-1.187444479
0.186,-1.356365314,-1.179148901
0.187,-1.358729161,-1.170587646
0.188,-1.361035976,-1.161749758
0.189,-1.363286286,-1.152623125
0.19,-1.365480615,-1.143195693
0.191,-1.367619484,-1.133454867
0.192,-1.369703409,-1.123387119
0.193,-1.371732902,-1.112978476
0.194,-1.373708469,-1.102213929
0.195,-1.375630615,-1.091078816
0.196,-1.377499838,-1.079556589
0.197,-1.379316636,-1.067631542
0.198,-1.381081499,-1.055285506
0.199,-1.382794915,-1.042500986
0.2,-1.384457368,-1.029259367
0.201,-1.386069338,-1.015541367
0.202,-1.3876313,-1.001326766
0.203,-1.389143728,-0.986595896
0.204,-1.39060709,-0.971327088
0.205,-1.392021852,-0.955499383
0.206,-1.393388473,-0.939089768
0.207,-1.394707412,-0.922077253
0.208,-1.395979122,-0.904438601
0.209,-1.397204055,-0.886152368
0.21,-1.398382656,-0.867194922
0.211,-1.39951537,-0.847545781
0.212,-1.400602635,-0.827182129
0.213,-1.401644889,-0.806085097
0.214,-1.402642563,-0.78423381
0.215,-1.403596088,-0.761612322
0.216,-1.404505889,-0.738203706
0.217,-1.405372389,-0.713995513
0.218,-1.406196008,-0.688977769
0.219,-1.406977161,-0.663142755
0.22,-1.407716261,-0.636488533
0.221,-1.408413718,-0.609017213
0.222,-1.409069938,-0.580735384
0.223,-1.409685323,-0.551655261
0.224,-1.410260275,-0.521798206
0.225,-1.41079519,-0.491187919
0.226,-1.411290461,-0.459857257
0.227,-1.411746479,-0.427847213
0.228,-1.412163631,-0.395204587
0.229,-1.412542303,-0.361986065
0.23,-1.412882874,-0.32825025
0.231,-1.413185724,-0.294069418
0.232,-1.413451229,-0.259517535
0.233,-1.41367976,-0.224672747
0.234,-1.413871687,-0.189621146
0.235,-1.414027377,-0.154450041
0.236,-1.414147194,-0.11924852
0.237,-1.414231499,-0.08410612
0.238,-1.414280649,-0.04911048
0.239,-1.414295,-0.014350015
0.24,-1.414274905,0.020092296
0.241,-1.414220713,0.054139043
0.242,-1.414132772,0.087715345
0.243,-1.414011425,0.120756592
0.244,-1.413857014,0.153201068
0.245,-1.413669878,0.184996289
0.246,-1.413450353,0.216097188
0.247,-1.413198773,0.246465168
0.248,-1.412915468,0.276070791
0.249,-1.412600768,0.304887882
0.25,-1.412254998,0.332901486
0.251,-1.411878481,0.360099979
0.252,-1.411471537,0.386478213
0.253,-1.411034486,0.412033514
0.254,-1.410567642,0.43677277
0.255,-1.410071319,0.460701685
0.256,-1.409545828,0.483831833
0.257,-1.408991476,0.506178336
0.258,-1.40840857,0.52775555
0.259,-1.407797413,0.548582813
0.26,-1.407158306,0.568679421
0.261,-1.406491548,0.588065832
0.262,-1.405797436,0.606763346
0.263,-1.405076262,0.624795805
0.264,-1.40432832,0.642182687
0.265,-1.403553897,0.658949483
0.266,-1.402753282,0.67511583
0.267,-1.401926759,0.690705578
0.268,-1.401074611,0.705739768
0.269,-1.400197119,0.720239656
0.27,-1.399294559,0.734227667
0.271,-1.398367209,0.747721757
0.272,-1.397415341,0.760743706
0.273,-1.396439228,0.773310881
0.274,-1.39543914,0.785442161
0.275,-1.394415342,0.7971567
0.276,-1.393368102,0.808469038
0.277,-1.392297681,0.819397945
0.278,-1.39120434,0.829958134
0.279,-1.39008834,0.840163761
0.28,-1.388949936,0.85003105
0.281,-1.387789383,0.859572897
0.282,-1.386606935,0.8688021
0.283,-1.385402842,0.877732138
0.284,-1.384177353,0.886374667
0.285,-1.382930714,0.894741622
0.286,-1.381663171,0.902843241
0.287,-1.380374967,0.910690458
0.288,-1.379066343,0.918293332
0.289,-1.377737537,0.92566183
0.29,-1.376388787,0.932804394
0.291,-1.375020328,0.939730149
0.292,-1.373632394,0.946447116
0.293,-1.372225216,0.952963631
0.294,-1.370799024,0.95928699
0.295,-1.369354046,0.965424492
0.296,-1.367890507,0.971383427
0.297,-1.366408632,0.977169813
0.298,-1.364908643,0.982790339
0.299,-1.363390762,0.988250481
0.3,-1.361855206,0.993556978
0.301,-1.360302193,0.998714495
0.302,-1.358731939,1.003728376
0.303,-1.357144656,1.008604302
0.304,-1.355540557,1.013346298
0.305,-1.353919853,1.017959061
0.306,-1.352282751,1.022447627
0.307,-1.350629458,1.026815742
0.308,-1.348960179,1.03106753
0.309,-1.347275119,1.035206421
0.31,-1.345574479,1.039236738
0.311,-1.343858458,1.043162111
0.312,-1.342127257,1.046985021
0.313,-1.340381071,1.050709837
0.314,-1.338620096,1.054339033
0.315,-1.336844525,1.057875953
0.316,-1.335054552,1.061322859
0.317,-1.333250367,1.0646831
0.318,-1.331432158,1.067959429
0.319,-1.329600114,1.071153801
0.32,-1.32775442,1.074269239
0.321,-1.325895261,1.077307747
0.322,-1.32402282,1.080271699
0.323,-1.322137278,1.083163382
0.324,-1.320238816,1.085984564
